,Timestamp,Your Name:,Email address:,What is your career stage?,What is your discipline?,"In three sentences or less, please describe your current field of work or your research question.","Will you be attending the workshop with a group of colleagues, friends, or classmates?",What OS will you use on the laptop you bring to the workshop?,"With which programming languages, if any, could you write a program from scratch which imports some data and calculates mean and standard deviation of that data?",What best describes how often you currently program?,What best describes the complexity of your programming? (Choose all that apply.),"In three sentences or fewer, describe a common scenario in your daily work in which stronger computing skills would improve your workflow and make you more productive. ",A tab-delimited file has two columns showing the date and the highest temperature on that day. Write a program to produce a graph showing the average highest temperature for each month.,How familiar are you with Git version control?,"Consider this task: given the URL for a project on GitHub, check out a working copy of that project, add a file called notes.txt, and commit the change.",How familiar are you with unit testing and code coverage?,"Consider this task: given a 200-line function to test, write half a dozen tests using a unit testing framework and use code coverage to check that they exercise every line of the function.",How familiar are you with SQL?,"Consider this task: a database has two tables: Scientist and Lab. Scientist's columns are the scientist's user ID, name, and email address; Lab's columns are lab IDs, lab names, and scientist IDs. Write an SQL statement that outputs the number of scientists in each lab.",How familiar do you think you are with the command line?,"How would you solve this problem: A directory contains 1000 text files. Create a list of all files that contain the word ""Drosophila"" and save the result to a file called results.txt.",How old are you?,What is your gender?,What is your ethnicity? (Choose all that apply),"Consider the extent to which the following statement applies to you: ""Setbacks don't discourage me.""","Consider the extent to which the following statement applies to you: ""I often set a goal but later choose to pursue a different one."""
0,7/16/2015 18:38:18,,,Faculty,"Earth sciences (geology, oceanography, meteorology)",Chemical metrology involving isotope ratio mass spectrometry,No,Apple OS X,Basic,I program less than once a year.,I write scripts to analyze data.,"Data reduction, importation and sorting",I could complete the task with documentation or search engine help.,I am not familiar with Git.,,I am not familiar with unit testing or code coverage.,,I am not familiar with SQL.,,I am familiar with the command line because I have or am using it.,"I would create this list using ""Find in Files"" and ""copy and paste.""",,,,Very much like me,Somewhat like me
1,7/16/2015 18:52:15,,,Research Scientist,Chemistry,"I am developing chemical analysis approaches to identifying unknown compounds in complex materials, such as environmental and biological materials. In addition to the instrumental analysis, I am evaluating how to mine useful data from liquid chromatography-mass spectrometry analysis and developing algorithms to identify compounds of interest.",No,Windows,"MATLAB, R",I program once a week or more.,I write scripts to analyze data.,"Currently I develop algorithms/programs in R that analyze my data, but the analysis can take hours to complete due to my own novice programming skills. Stronger computing skills, with a wider variety of options, would increase my ability to create better/faster/stronger programs for the same analyses.",I could complete the task with little or no documentation or search engine help.,I am not familiar with Git.,,I am not familiar with unit testing or code coverage.,,I am familiar only with the name SQL.,,I am familiar with the command line but have never used it.,,,,,Very much like me,Somewhat like me
2,7/16/2015 19:13:18,,,Post-doc,"Engineering (civil, mechanical, chemical)","My current work involves examining molecular adsorption layers on single-walled carbon nanotubes using analytical ultracentrifugation and small angle neutron scattering, specifically in the context of carbon nanotube separation. ",No,Windows,none,I have never programmed.,I have never programmed.,Learning how to write code for image analysis. ,I could complete the task with documentation or search engine help.,I am not familiar with Git.,,I am not familiar with unit testing or code coverage.,,I am not familiar with SQL.,,I am familiar with the command line but have never used it.,,,,,Not much like me,Not much like me
3,7/16/2015 20:51:30,,,Graduate,"Life science (biology, genetics)",Computational analysis of bacterial whole genome sequence data.,Yes,Apple OS X,"Python, R",I program once a week or more.,"I write scripts to analyze data., I write tools to use and that others can use.","When processing a multiple datasets, being able to quickly develop efficient robust, reproducible computational pipelines.  Better understanding of how to work with databases for more efficiently work with large datasets.",I could complete the task with little or no documentation or search engine help.,I am familiar with Git because I have used or am using it.,I could complete the task with little or no documentation or search engine help.,I am familiar with unit testing or code coverage but have never used it.,,I am familiar with SQL because I have used or am using them.,I could complete the task with documentation or search engine help.,I am familiar with the command line because I have or am using it.,I would create this list using basic command line programs.,,,,Somewhat like me,Not much like me
4,7/16/2015 21:14:38,,,Post-doc,"Life science (biology, genetics)","Pediatric cancer genomics, virus genomics",Yes,Apple OS X,R,I program once a week or more.,"I write scripts to analyze data., I write tools to use and that others can use.",Being able to edit others' scripts in multiple languages instead of just one would be super useful. Being able to track scripts/keep a better notebook than Evernote would help... Suggestions welcome!!,I could complete the task with little or no documentation or search engine help.,I am familiar only with the name Git.,,I am not familiar with unit testing or code coverage.,,I am familiar with SQL because I have used or am using them.,I could complete the task with documentation or search engine help.,I am familiar with the command line because I have or am using it.,"I would create this list using ""Find in Files"" and ""copy and paste.""",,,,Not like me at all,Not like me at all
5,7/16/2015 22:42:54,,,Faculty,"Life science (biology, genetics), Computer science and electrical engineering",We are integrating genome sequencing data to develop whole genome reference materials that can be used to assess sequencing performance,No,Apple OS X,"Perl, MATLAB, R",I program once a week or more.,"I write scripts to analyze data., I write tools to use and that others can use.",I often write scripts and short programs that I can use at the time but would be difficult for others to use and sometimes for me to use in the future,I could complete the task with little or no documentation or search engine help.,I am familiar with Git but have never used it.,,"I am familiar only with the terms ""unit testing"" and ""code coverage"".",,I am familiar with SQL because I have used or am using them.,I could complete the task with little or no documentation or search engine help.,I am familiar with the command line because I have or am using it.,I would create this list using a pipeline of command line programs.,,,,Mostly like me,Somewhat like me
6,7/17/2015 7:11:39,,,Faculty,"Chemistry, Engineering (civil, mechanical, chemical)",Working on diffusion data smoothing (error reduction and interpolation) and an optimization process for diffusion mobility database (CALPHAD) based on Mathematica. I would like to investigate how these processes can be re-coded using open sources.,No,Apple OS X,Mathematica,I program once a week or more.,I write scripts to analyze data.,Efficient algorithms to find an optimum parameter values to fit experiment data.,I could complete the task with little or no documentation or search engine help.,I am not familiar with Git.,,I am not familiar with unit testing or code coverage.,,I am familiar only with the name SQL.,,I am familiar with the command line because I have or am using it.,"I would create this list using ""Find in Files"" and ""copy and paste.""",,,,Very much like me,Not much like me
7,7/17/2015 8:04:14,,,Research staff,"Chemistry, Earth sciences (geology, oceanography, meteorology)",My work focuses on the application of analytical electrochemical methods in oceanography. I also work on the traditional NIST SRMs analyzed using electrochemical methods.,No,Windows,"MATLAB, Python, R, Mathematica",I program several times a year.,I write scripts to analyze data.,"Much of the equipment used my lab is prepared piecewise. Some of these systems are automated, but many are not. I recently used Python 2.7 to create an auto-data-logger for a system that data was previously hand recorded. The data-logger allows the operator more freedom to get other work done in the lab while the measurement data is being recorded.",I could complete the task with documentation or search engine help.,I am familiar only with the name Git.,,I am not familiar with unit testing or code coverage.,,I am not familiar with SQL.,,I am familiar with the command line because I have or am using it.,"I would create this list using ""Find in Files"" and ""copy and paste.""",,,,Mostly like me,Mostly like me
8,7/17/2015 8:31:50,,,Faculty,Physics,Modelling and simulation. Data and informatics.,Yes,Apple OS X,"C, C++, MATLAB, Python, R",I program several times a year.,I write tools to use and that others can use.,"I hack the program until it works. I want to improve quality, style, ease of reuse and modification. ",I could complete the task with little or no documentation or search engine help.,I am familiar with Git because I have used or am using it.,I could complete the task with documentation or search engine help.,I am not familiar with unit testing or code coverage.,,I am familiar with SQL but have never used it.,,I am familiar with the command line because I have or am using it.,I would create this list using basic command line programs.,,,,Mostly like me,Somewhat like me
9,7/17/2015 8:44:41,,,Post-doc,"Engineering (civil, mechanical, chemical)",Small-scale mechanical testing.,No,Windows,Mathematica,I program less than once a year.,I have never programmed.,I use Abaqus for finite element analyses and could benefit from Python scripting to extract and analyze results. ,I could complete the task with documentation or search engine help.,I am not familiar with Git.,,I am not familiar with unit testing or code coverage.,,I am not familiar with SQL.,,I am familiar with the command line because I have or am using it.,I could not create this list.,,,,Very much like me,Very much like me
